invoice_id,supplier_name,invoice_amount,invoice_date,due_date,payment_date,status,rejection_flag,delay_days,risk_score
INV-1001,Orion Logistics,1112.76,2025-06-13,2025-07-13,2025-07-11,Paid,0,-2,0.38
INV-1002,Nova Supply Co.,2630.0,2025-01-27,2025-02-26,2025-03-10,Rejected,1,12,0.22
INV-1003,Vertex Components,12881.2,2025-02-25,2025-03-27,2025-03-29,Paid,0,2,0.62
INV-1004,Orion Logistics,14937.01,2025-02-26,2025-03-28,2025-04-06,Delayed,0,9,0.77
INV-1005,BlueRiver Exports,8836.14,2025-06-28,2025-07-28,2025-08-05,Delayed,0,8,0.36
INV-1006,Apex Manufacturing,9808.22,2025-01-27,2025-02-26,2025-02-23,Paid,0,-3,0.84
INV-1007,Apex Manufacturing,13637.59,2025-01-12,2025-02-11,2025-02-20,Rejected,1,9,0.26
INV-1008,Nova Supply Co.,22193.57,2025-06-10,2025-07-10,2025-07-24,Delayed,0,14,0.63
INV-1009,Nova Supply Co.,19440.17,2025-01-12,2025-02-11,2025-02-13,Paid,0,2,0.84
INV-1010,BlueRiver Exports,11608.55,2025-04-08,2025-05-08,2025-05-11,Paid,0,3,0.32
INV-1011,Orion Logistics,17694.6,2025-02-23,2025-03-25,2025-03-28,Paid,0,3,0.66
INV-1012,Zenith Parts Ltd.,4503.36,2025-05-17,2025-06-16,2025-06-18,Rejected,1,2,0.4
INV-1013,Alpha Traders,21149.87,2025-06-25,2025-07-25,2025-07-30,Paid,0,5,0.37
INV-1014,BlueRiver Exports,7059.65,2025-03-22,2025-04-21,2025-04-28,Delayed,0,7,0.88
INV-1015,Orion Logistics,12731.17,2025-02-24,2025-03-26,2025-04-10,Rejected,1,15,0.31
INV-1016,Vertex Components,13704.94,2025-03-05,2025-04-04,2025-04-16,Rejected,1,12,0.87
INV-1017,Nova Supply Co.,24934.48,2025-04-03,2025-05-03,2025-05-05,Paid,0,2,0.58
INV-1018,Vertex Components,4244.61,2025-01-13,2025-02-12,2025-02-10,Paid,0,-2,0.79
INV-1019,Alpha Traders,9926.8,2025-06-02,2025-07-02,2025-06-29,Rejected,1,-3,0.6
INV-1020,BlueRiver Exports,17201.9,2025-06-24,2025-07-24,2025-07-22,Paid,0,-2,0.78
INV-1021,Apex Manufacturing,11151.75,2025-01-29,2025-02-28,2025-03-04,Rejected,1,4,0.2
INV-1022,Apex Manufacturing,12938.2,2025-05-09,2025-06-08,2025-06-08,Paid,0,0,0.85
INV-1023,Orion Logistics,15419.77,2025-06-13,2025-07-13,2025-07-24,Delayed,0,11,0.48
INV-1024,Nova Supply Co.,23003.09,2025-05-19,2025-06-18,2025-06-29,Delayed,0,11,0.57
INV-1025,Nova Supply Co.,6366.58,2025-04-03,2025-05-03,2025-05-07,Paid,0,4,0.86
INV-1026,Sigma Industrial,20492.57,2025-01-22,2025-02-21,2025-03-03,Delayed,0,10,0.3
INV-1027,Zenith Parts Ltd.,6993.89,2025-05-21,2025-06-20,2025-06-20,Rejected,1,0,0.92
INV-1028,Sigma Industrial,24881.16,2025-03-21,2025-04-20,2025-04-27,Delayed,0,7,0.53
INV-1029,Zenith Parts Ltd.,6005.08,2025-01-31,2025-03-02,2025-03-04,Paid,0,2,0.22
INV-1030,Alpha Traders,676.18,2025-05-31,2025-06-30,2025-07-02,Paid,0,2,0.37
INV-1031,Zenith Parts Ltd.,13096.82,2025-03-26,2025-04-25,2025-04-22,Paid,0,-3,0.7
INV-1032,Sigma Industrial,18222.14,2025-05-19,2025-06-18,2025-06-17,Rejected,1,-1,0.38
INV-1033,Vertex Components,2810.98,2025-04-15,2025-05-15,2025-05-16,Rejected,1,1,0.47
INV-1034,BlueRiver Exports,16997.43,2025-04-30,2025-05-30,2025-05-26,Paid,0,-4,0.25
INV-1035,Orion Logistics,5193.96,2025-01-28,2025-02-27,2025-03-01,Rejected,1,2,0.31
INV-1036,Nova Supply Co.,6620.26,2025-03-13,2025-04-12,2025-04-21,Delayed,0,9,0.53
INV-1037,Zenith Parts Ltd.,24982.42,2025-01-13,2025-02-12,2025-02-27,Delayed,0,15,0.93
INV-1038,Alpha Traders,12398.21,2025-02-12,2025-03-14,2025-03-22,Delayed,0,8,0.85
INV-1039,Sigma Industrial,552.81,2025-02-12,2025-03-14,2025-03-21,Rejected,1,7,0.4
INV-1040,Apex Manufacturing,17566.49,2025-03-15,2025-04-14,2025-04-22,Rejected,1,8,0.32
INV-1041,Alpha Traders,14689.92,2025-02-25,2025-03-27,2025-03-23,Paid,0,-4,0.76
INV-1042,Nova Supply Co.,12181.32,2025-01-13,2025-02-12,2025-02-25,Delayed,0,13,0.24
